jd,UT1_UTC,sigma,DeltaT
2458930.5,-220.9353,0.0051,69.40493529999999
2458931.5,-221.3969,0.0049,69.4053969
2458932.5,-221.935,0.0048,69.405935
2458933.5,-222.4998,0.0048,69.40649979999999
2458934.5,-223.0586,0.0049,69.4070586
2458935.5,-223.5768,0.005,69.4075768
2458936.5,-224.027,0.0051,69.408027
2458937.5,-224.3985,0.0052,69.4083985
2458938.5,-224.6996,0.0052,69.40869959999999
2458939.5,-224.9459,0.0053,69.40894589999999
2458940.5,-225.1677,0.0054,69.4091677
2458941.5,-225.4211,0.0053,69.4094211
2458942.5,-225.8088,0.0054,69.4098088
2458943.5,-226.4201,0.0056,69.4104201
2458944.5,-227.3265,0.0057,69.4113265
2458945.5,-228.5432,0.0057,69.4125432
2458946.5,-230.0159,0.0058,69.4140159
2458947.5,-231.6246,0.0059,69.4156246
2458948.5,-233.2083,0.006,69.4172083
2458949.5,-234.6158,0.006,69.4186158
2458950.5,-235.7568,0.006,69.4197568
2458951.5,-236.615,0.006,69.420615
2458952.5,-237.2105,0.006,69.4212105
2458953.5,-237.5994,0.006,69.42159939999999
2458954.5,-237.8589,0.0059,69.4218589
2458955.5,-238.046,0.006,69.422046
2458956.5,-238.256,0.0061,69.422256
2458957.5,-238.5852,0.0062,69.4225852
2458958.5,-239.0202,0.0062,69.4230202
2458959.5,-239.5002,0.0063,69.42350019999999
2458960.5,-239.9975,0.0065,69.4239975
2458961.5,-240.5026,0.0065,69.4245026
2458962.5,-240.9715,0.0067,69.4249715
2458963.5,-241.39,0.0068,69.42539
2458964.5,-241.6851,0.0069,69.4256851
2458965.5,-241.8475,0.007,69.4258475
2458966.5,-241.9828,0.007,69.4259828
2458967.5,-242.0713,0.0071,69.4260713
2458968.5,-242.1322,0.0071,69.4261322
2458969.5,-242.239,0.0071,69.426239
2458970.5,-242.4743,0.0071,69.4264743
2458971.5,-242.917,0.0068,69.426917
2458972.5,-243.6308,0.0068,69.4276308
2458973.5,-244.5748,0.0068,69.42857479999999
2458974.5,-245.67,0.0068,69.42967
2458975.5,-246.804,0.0069,69.430804
